source,target,accuracy,kappa,f1_macro,cka,method
7,9,0.4861111111111111,0.31481481481481477,0.44769267559012504,0.059084367537128785,koopman-noalign
8,1,0.3020833333333333,0.06944444444444442,0.19955436720142603,0.07123986724087426,koopman-noalign
8,2,0.2465277777777778,-0.004629629629629539,0.15097128378378377,0.013026592401822053,koopman-noalign
8,3,0.2708333333333333,0.02777777777777779,0.14693591009380486,0.09614622358821023,koopman-noalign
8,4,0.2743055555555556,0.03240740740740744,0.15822859089334734,0.012162278539680925,koopman-noalign
8,5,0.25,0.0,0.10027855153203342,0.02471067752162059,koopman-noalign
8,6,0.3090277777777778,0.07870370370370372,0.2037639630888781,0.011899804943639352,koopman-noalign
8,7,0.2465277777777778,-0.004629629629629539,0.12444548998521306,0.032157541466461166,koopman-noalign
8,9,0.5138888888888888,0.35185185185185186,0.4466206787635359,0.08165982344810954,koopman-noalign
9,1,0.2638888888888889,0.01851851851851849,0.1305972938626,0.0901988348991386,koopman-noalign
9,2,0.25,0.0,0.1,0.035768166034773605,koopman-noalign
9,3,0.2673611111111111,0.02314814814814814,0.13549955791335103,0.03664586967233744,koopman-noalign
9,4,0.25,0.0,0.1,0.021650341830395124,koopman-noalign
9,5,0.25,0.0,0.1,0.059644519162208656,koopman-noalign
9,6,0.2604166666666667,0.01388888888888884,0.133094844982572,0.026390015831142775,koopman-noalign
9,7,0.25,0.0,0.10027855153203342,0.031468044784005764,koopman-noalign
9,8,0.3333333333333333,0.11111111111111116,0.2468218162781579,0.04405351261506443,koopman-noalign
