source,target,s_rep,s_beh,s_rep_rank,s_beh_rank,rbid_pair,rbid_pos_pair,rbid_neg_pair
4,7,0.02481097285599075,0.3298611111111111,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
4,8,0.016868037693737268,0.4479166666666667,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
4,9,0.031291397695440516,0.4583333333333333,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
5,1,0.029677562083120394,0.2777777777777778,0.42857142857142855,0.0,0.42857142857142855,0.42857142857142855,0.0
5,2,0.17788912242243066,0.23958333333333334,1.0,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.0
5,3,0.024697648705852747,0.3472222222222222,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
5,4,0.06217151195338837,0.2708333333333333,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571,0.0
5,6,0.030903740383593975,0.2013888888888889,1.0,0.0,1.0,1.0,0.0
5,7,0.034645242524456644,0.3263888888888889,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0
5,8,0.023421411250062193,0.3576388888888889,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
5,9,0.028218777667566253,0.3020833333333333,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
6,1,0.029384625182927712,0.4965277777777778,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
6,2,0.01721063726109424,0.2743055555555556,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.0,0.42857142857142855
6,3,0.03754466191886532,0.5208333333333334,0.42857142857142855,0.7142857142857142,0.28571428571428564,0.0,0.28571428571428564
6,4,0.03532705426278468,0.4270833333333333,0.42857142857142855,1.0,0.5714285714285714,0.0,0.5714285714285714
6,5,0.02718341598875753,0.3055555555555556,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857
6,7,0.028795283585420963,0.3298611111111111,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285
6,8,0.022241620415988553,0.4340277777777778,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
6,9,0.02878308767081144,0.3888888888888889,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
7,1,0.23221436916034638,0.5069444444444444,1.0,0.5714285714285714,0.4285714285714286,0.4285714285714286,0.0
7,2,0.021488672209517227,0.17708333333333334,0.7142857142857142,0.0,0.7142857142857142,0.7142857142857142,0.0
7,3,0.1660550387450718,0.5902777777777778,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.0
7,4,0.026386917507579048,0.2951388888888889,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0
7,5,0.03751330879130279,0.2916666666666667,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
7,6,0.01577271363309958,0.2777777777777778,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285
7,8,0.08231906246343641,0.4722222222222222,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0
7,9,0.10977862251149521,0.5520833333333334,0.7142857142857142,0.7142857142857142,0.0,0.0,0.0
8,1,0.13493377036300067,0.53125,0.7142857142857142,0.8571428571428571,0.1428571428571429,0.0,0.1428571428571429
8,2,0.006402875696755645,0.2326388888888889,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
8,3,0.0664899170949636,0.4652777777777778,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0
8,4,0.01671413986723265,0.40625,0.14285714285714285,0.8571428571428571,0.7142857142857142,0.0,0.7142857142857142
8,5,0.02108155156172923,0.3194444444444444,0.0,0.7142857142857142,0.7142857142857142,0.0,0.7142857142857142
8,6,0.016424988861073755,0.2604166666666667,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0
8,7,0.03188504385877409,0.3402777777777778,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285
8,9,0.1325200202262798,0.5729166666666666,1.0,1.0,0.0,0.0,0.0
9,1,0.13690169610295863,0.5138888888888888,0.8571428571428571,0.7142857142857142,0.1428571428571429,0.1428571428571429,0.0
9,2,0.013003037033004641,0.2604166666666667,0.2857142857142857,0.7142857142857142,0.4285714285714285,0.0,0.4285714285714285
9,3,0.14921155592337645,0.4965277777777778,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0
9,4,0.06120856401342083,0.3090277777777778,0.7142857142857142,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.0
9,5,0.03989794057347175,0.3472222222222222,0.7142857142857142,1.0,0.2857142857142858,0.0,0.2857142857142858
9,6,0.024776082363565887,0.3368055555555556,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
9,7,0.13465781142495747,0.4513888888888889,0.8571428571428571,1.0,0.1428571428571429,0.0,0.1428571428571429
9,8,0.17690632258026956,0.5,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.0
