source,target,accuracy,kappa,f1_macro,cka
4,6,0.2708333333333333,0.02777777777777779,0.2506913555242227,0.010813872235038408
4,7,0.3715277777777778,0.1620370370370371,0.3572422912272385,0.004823342097046058
4,8,0.3715277777777778,0.1620370370370371,0.29950170192086456,0.009674510173379643
4,9,0.3888888888888889,0.18518518518518523,0.3334784024921503,0.012260390414280948
5,1,0.2986111111111111,0.06481481481481477,0.2743610260116468,0.029544133698688118
5,2,0.25,0.0,0.14364687300467116,0.03952998066326235
5,3,0.2708333333333333,0.02777777777777779,0.22090277777777778,0.02761326947109845
5,4,0.2673611111111111,0.02314814814814814,0.21772491396898522,0.012814147503435092
5,6,0.2048611111111111,-0.06018518518518512,0.12309380422578341,0.017924671325746436
5,7,0.3020833333333333,0.06944444444444442,0.2848385094746043,0.03138564300450936
5,8,0.3194444444444444,0.09259259259259256,0.23811414613179016,0.019276637249506977
5,9,0.22916666666666666,-0.02777777777777768,0.11772967334670015,0.022668662169368595
6,1,0.4444444444444444,0.2592592592592593,0.39720673294709485,0.03904029399035758
6,2,0.2465277777777778,-0.004629629629629539,0.18788263336971536,0.010478653123494108
6,3,0.5694444444444444,0.42592592592592593,0.5733566725760775,0.08057366545189162
6,4,0.3923611111111111,0.18981481481481477,0.3304962013295346,0.008486945942537663
6,5,0.2743055555555556,0.03240740740740744,0.180267543955206,0.017204190234638976
6,7,0.3506944444444444,0.1342592592592593,0.3309316678944916,0.03356411322930687
6,8,0.4583333333333333,0.2777777777777778,0.4299828625135728,0.01254134174487268
6,9,0.4618055555555556,0.28240740740740744,0.40216897672833823,0.03815784288294946
7,1,0.46875,0.29166666666666663,0.4113992940554493,0.2771217557707774
7,2,0.1840277777777778,-0.08796296296296302,0.16621408755348663,0.023373714595118188
7,3,0.4618055555555556,0.28240740740740744,0.4373747382432762,0.2800776800281141
7,4,0.3263888888888889,0.10185185185185186,0.3260137998700824,0.007203927042936154
7,5,0.2916666666666667,0.05555555555555558,0.2576725429855446,0.04273285613739982
7,6,0.2638888888888889,0.01851851851851849,0.23742717400627167,0.045612450838616564
7,8,0.3090277777777778,0.07870370370370372,0.21316067653276954,0.19980914296616833
7,9,0.4340277777777778,0.24537037037037035,0.37978675694401043,0.21032037718495905
8,1,0.4861111111111111,0.31481481481481477,0.4030176173033315,0.13312858111332757
