target_subject,window_id,oracle_action,k_rbid,k_rbid_pos,k_rbid_neg,oracle_gain
6,11,A0_identity,0.17948717948717946,0.08974358974358973,0.08974358974358973,0.3125
6,12,P1_mean_shift_a067,0.4487179487179487,0.2243589743589743,0.2243589743589744,0.125
6,13,A0_identity,0.32051282051282054,0.16025641025641024,0.16025641025641024,0.0625
6,14,P1_mean_shift_a100,0.46153846153846145,0.2307692307692308,0.2307692307692308,0.25
6,15,P2_diag_scaling_a067,0.4487179487179487,0.22435897435897434,0.22435897435897434,0.0625
6,16,A0_identity,0.25641025641025644,0.1282051282051282,0.1282051282051282,0.0625
6,17,P1_mean_shift_a100,0.358974358974359,0.17948717948717946,0.17948717948717946,0.0
7,0,P2_diag_scaling_a100,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0
7,1,A0_identity,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.125
7,2,P2_diag_scaling_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
7,3,A0_identity,0.3333333333333333,0.16666666666666666,0.16666666666666669,0.125
7,4,P1_mean_shift_a067,0.4230769230769231,0.21153846153846154,0.2115384615384615,0.0
7,5,P1_mean_shift_a100,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.0625
7,6,P1_mean_shift_a033,0.41025641025641024,0.20512820512820512,0.20512820512820512,0.125
7,7,P1_mean_shift_a033,0.32051282051282054,0.16025641025641027,0.16025641025641024,0.125
7,8,P2_diag_scaling_a100,0.5256410256410255,0.26282051282051283,0.2628205128205128,0.0
7,9,P2_diag_scaling_a067,0.47435897435897423,0.23717948717948717,0.2371794871794872,0.125
7,10,P3_low_rank_affine_a100,0.1794871794871795,0.08974358974358973,0.08974358974358973,0.0625
7,11,P2_diag_scaling_a067,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0
7,12,P2_diag_scaling_a067,0.4487179487179488,0.2243589743589744,0.22435897435897434,0.125
7,13,P2_diag_scaling_a100,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.0
7,14,A0_identity,0.34615384615384615,0.17307692307692307,0.17307692307692307,0.125
7,15,P2_diag_scaling_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
7,16,P1_mean_shift_a033,0.41025641025641024,0.20512820512820515,0.20512820512820512,0.0
7,17,P1_mean_shift_a100,0.39743589743589747,0.1987179487179487,0.1987179487179487,0.0625
8,0,P1_mean_shift_a067,0.423076923076923,0.21153846153846154,0.21153846153846156,0.0625
8,1,P2_diag_scaling_a067,0.3717948717948717,0.18589743589743588,0.18589743589743588,0.0625
8,2,P2_diag_scaling_a100,0.39743589743589747,0.1987179487179487,0.1987179487179487,0.0
8,3,P2_diag_scaling_a100,0.5128205128205128,0.2564102564102564,0.2564102564102564,0.0
8,4,A0_identity,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
8,5,P2_diag_scaling_a100,0.39743589743589747,0.19871794871794873,0.1987179487179487,0.0
8,6,P1_mean_shift_a067,0.41025641025641024,0.20512820512820512,0.2051282051282051,0.0625
8,7,P2_diag_scaling_a100,0.3205128205128205,0.16025641025641027,0.16025641025641027,0.0
8,8,A0_identity,0.2307692307692308,0.11538461538461539,0.11538461538461539,0.1875
8,9,P1_mean_shift_a067,0.37179487179487186,0.18589743589743585,0.18589743589743593,0.0
8,10,P4_supervised_subspace_a033,0.4999999999999999,0.24999999999999997,0.25,0.0625
8,11,P3_low_rank_affine_a033,0.2692307692307692,0.13461538461538464,0.13461538461538464,0.1875
8,12,A0_identity,0.37179487179487186,0.18589743589743593,0.18589743589743585,0.125
8,13,A0_identity,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.1875
8,14,P3_low_rank_affine_a033,0.2948717948717949,0.14743589743589744,0.1474358974358974,0.125
8,15,P1_mean_shift_a100,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0625
8,16,A0_identity,0.37179487179487186,0.18589743589743588,0.18589743589743588,0.125
8,17,P2_diag_scaling_a067,0.2948717948717948,0.1474358974358974,0.1474358974358974,0.125
9,0,P1_mean_shift_a033,0.4230769230769231,0.21153846153846154,0.21153846153846154,0.0
9,1,P2_diag_scaling_a067,0.4487179487179486,0.2243589743589744,0.2243589743589744,0.0
9,2,P1_mean_shift_a067,0.5384615384615384,0.2692307692307692,0.26923076923076916,0.0625
9,3,P2_diag_scaling_a067,0.4743589743589744,0.23717948717948717,0.23717948717948717,0.0625
9,4,P1_mean_shift_a100,0.4358974358974359,0.21794871794871792,0.21794871794871792,0.0625
9,5,P1_mean_shift_a100,0.37179487179487175,0.18589743589743588,0.18589743589743588,0.0
9,6,P2_diag_scaling_a100,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0
9,7,P2_diag_scaling_a067,0.4743589743589744,0.23717948717948717,0.23717948717948717,0.0
9,8,P2_diag_scaling_a100,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.0
9,9,P1_mean_shift_a033,0.38461538461538464,0.19230769230769232,0.19230769230769232,0.0
9,10,P2_diag_scaling_a067,0.5,0.25,0.25,0.0625
9,11,P2_diag_scaling_a100,0.5128205128205129,0.2564102564102564,0.2564102564102564,0.0
9,12,P2_diag_scaling_a100,0.5,0.24999999999999997,0.25,0.0
9,13,P2_diag_scaling_a100,0.4487179487179487,0.22435897435897434,0.2243589743589744,0.0
9,14,P2_diag_scaling_a100,0.2948717948717948,0.1474358974358974,0.1474358974358974,0.0
9,15,P2_diag_scaling_a067,0.5384615384615385,0.2692307692307692,0.2692307692307692,0.0
9,16,P2_diag_scaling_a067,0.46153846153846145,0.23076923076923078,0.23076923076923078,0.125
9,17,P2_diag_scaling_a100,0.5384615384615385,0.2692307692307692,0.2692307692307692,0.0
