subject,window_id,start_trial,end_trial,acc_ra,acc_w0,acc_w05,delta_dev_vs_ra,rho_kcar,d_src,d_tgt,sigma_recent,entropy,conf_max,label
7,4,128,160,0.5,0.4375,0.46875,-0.03125,0.9545590449920596,2.129181477016862,1.6914208634213976,0.40510354488202116,1.2343119974712464,0.45129702678385597,ra-safe
7,5,160,192,0.375,0.375,0.4375,0.0625,0.8962438624850252,2.2017318620800816,1.3032237089533485,0.33757327243492896,1.264126620331066,0.4127800501302393,deviation-beneficial
7,6,192,224,0.3125,0.3125,0.3125,0.0,0.8873759546735043,2.2071306000202258,1.3773614200649025,0.3283845985827492,1.242143847821307,0.43951724255474883,neutral
7,7,224,256,0.3125,0.21875,0.28125,-0.03125,0.8668534930122874,2.2573139674385216,1.2170032221003582,0.31844112748282427,1.2579107871982782,0.43162694099222587,ra-safe
7,8,256,288,0.3125,0.34375,0.3125,0.03125,0.8821242737696622,2.2289617210214097,1.6818539277654354,0.3895338855439762,1.1909925143022848,0.4693311545342083,deviation-beneficial
8,0,0,32,0.5625,0.5625,0.59375,0.03125,0.9162394692445895,3.797511252385641,1.9034895191785675,0.42244843639304247,1.0650906897513297,0.5606789946751497,deviation-beneficial
8,1,32,64,0.5625,0.53125,0.59375,0.03125,0.90671043853689,4.414700931015449,2.023570813522481,0.5566405323496972,1.0635616636793706,0.5607872663746543,deviation-beneficial
8,2,64,96,0.5,0.46875,0.4375,-0.03125,0.9613512237964081,4.717232273333055,1.7916935662630933,0.5728134770779799,1.1925460076735623,0.493086063030466,ra-safe
8,3,96,128,0.5,0.34375,0.46875,-0.03125,0.9694369865856765,4.229356236024159,1.9719370542335248,0.522887226644712,1.0754493739082909,0.5502060538160406,ra-safe
8,4,128,160,0.5,0.59375,0.59375,0.09375,0.9763345541571626,4.456842019823131,1.9065827835418645,0.5103591405925558,1.1106686915632342,0.5145802528012609,deviation-beneficial
8,5,160,192,0.65625,0.5,0.59375,-0.0625,0.8540209182564455,4.19591964103543,1.7946695847070013,0.5113572330019798,1.0771456524424885,0.5253185015876636,ra-safe
8,6,192,224,0.59375,0.5625,0.59375,0.0,0.8651271418277753,4.379620546308477,1.9755025146480043,0.5394764800692917,1.0932749273738387,0.5490144489150696,neutral
8,7,224,256,0.4375,0.59375,0.46875,0.15625,0.9603256533050931,4.202940717000674,1.945571596750647,0.5330435256588983,1.0984508815559009,0.5324417735689033,deviation-beneficial
8,8,256,288,0.59375,0.5625,0.625,0.03125,0.9390227628765628,4.400882558806377,1.8152907167690382,0.5635652211799438,1.0834111705085812,0.5375592583961266,deviation-beneficial
9,0,0,32,0.46875,0.59375,0.53125,0.125,0.9670332975698167,6.093099604974164,2.9647390136906804,0.6894845248009336,0.7926829785317386,0.6830985832790674,deviation-beneficial
9,1,32,64,0.46875,0.625,0.59375,0.15625,0.9309929059597384,6.975227430943878,2.7418039187774728,0.8066312079051958,0.9476211124911529,0.5944059843181169,deviation-beneficial
9,2,64,96,0.4375,0.4375,0.4375,0.0,0.9652204316582755,6.903647358252056,2.3479576781427856,0.7663081201953457,1.0419320899525397,0.5606680253651246,neutral
9,3,96,128,0.5,0.46875,0.53125,0.03125,0.913546335675847,6.778885344379312,2.6682566955094633,0.8079113991915646,1.0592985585368253,0.5342408952211994,deviation-beneficial
9,4,128,160,0.46875,0.4375,0.4375,-0.03125,0.8469515911785035,6.816028175958365,2.4738262839837484,0.7728426716431962,1.0553183149322005,0.5584917977801517,ra-safe
9,5,160,192,0.53125,0.46875,0.46875,-0.0625,0.8162767688828144,7.192408615687315,2.4360059277885417,0.7749614764518225,1.0619393048981327,0.5365891659175713,ra-safe
9,6,192,224,0.375,0.34375,0.375,0.0,0.9257716574501016,7.0833833562948865,2.6180181579054342,0.7489734065843969,1.0243472557113087,0.566406544653824,neutral
9,7,224,256,0.28125,0.4375,0.375,0.15625,0.9481852159956785,6.9607639775042625,2.5806174553091674,0.8135998073144882,0.9937171449535058,0.5849063772523391,deviation-beneficial
9,8,256,288,0.25,0.375,0.25,0.125,0.884419167016059,7.314280881111681,2.127654524531743,0.7582920366630153,1.006331171005788,0.5772833280774392,deviation-beneficial
