source,target,accuracy,kappa,f1_macro,ra_accuracy,proxy_train_mean_cosine,proxy_test_mean_cosine,proxy_train_mean_neg_l2,proxy_test_mean_neg_l2,proxy_test_cka,method,method_key
8,3,0.3333333333333333,0.11111111111111116,0.25480781057810575,0.4826388888888889,0.8650205034106317,0.6998101706405957,-5.28768059768374,-4.680358587137344,0.08551554031549796,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,4,0.3854166666666667,0.18055555555555558,0.2810101927691734,0.3923611111111111,0.8851424121654434,0.8213719314796281,-4.090723777913585,-3.4600364603760276,0.0224008753809913,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,5,0.28125,0.04166666666666663,0.21226170736480013,0.3194444444444444,0.7312792695189616,0.4812275432998864,-7.046397519457434,-7.390808509382964,0.01008170670318235,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,6,0.3402777777777778,0.12037037037037035,0.25296426820817064,0.2708333333333333,0.8572254523845959,0.7602594313219382,-4.167988591760882,-3.8904455890290586,0.0076182433092005925,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,7,0.28125,0.04166666666666663,0.1827259436801793,0.3402777777777778,0.8134594676508069,0.7639037056047382,-4.8327832624303015,-3.9157841619106364,0.03071868412376928,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
8,9,0.4548611111111111,0.27314814814814814,0.42603758587407026,0.5625,0.861159687814123,0.7156645791473878,-6.452539232314453,-5.340084124124152,0.08603481272336519,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,1,0.3958333333333333,0.19444444444444442,0.2662344970400882,0.4965277777777778,0.7995166052557316,0.7761622025928963,-7.653263644547291,-5.835512856296028,0.16711317541218892,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,2,0.2534722222222222,0.00462962962962965,0.210557255807358,0.2604166666666667,0.8746255084249702,0.889720373368023,-5.578432564131821,-9.611502903373255,0.038816829706911145,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,3,0.2534722222222222,0.00462962962962965,0.18666498248504754,0.4965277777777778,0.757881912324533,0.7504120427204908,-9.11692028180708,-7.027709834678644,0.08031946066842675,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,4,0.2534722222222222,0.00462962962962965,0.1082577657727185,0.3333333333333333,0.7754084393039908,0.771425614226898,-8.250886476493983,-6.207098466701329,0.009904486625921582,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,5,0.2534722222222222,0.00462962962962965,0.1139143196589559,0.3194444444444444,0.7723884421288619,0.8047959084566086,-6.663924424257637,-4.6175412410619705,0.05405543461885396,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,6,0.2569444444444444,0.0092592592592593,0.11965811965811966,0.3333333333333333,0.8110636211346615,0.7167686895947982,-8.686318318377424,-6.947473796904281,0.012801343806885529,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,7,0.2743055555555556,0.03240740740740744,0.1513526119402985,0.4756944444444444,0.7215234306297136,0.6468214809722557,-9.22646650985388,-7.567463387564666,0.05806159551016165,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
9,8,0.2881944444444444,0.05092592592592593,0.1796602787456446,0.5173611111111112,0.8337996400819175,0.7439752876104578,-8.728716266186133,-7.142937950944381,0.037579087850297434,Conservative Koopman aligner-r48 (proxy-only diagnostic),conservative-koopman-aligner-r48-proxy-only-diagnostic
