target,proxy,corr_behavior_spearman,corr_ra_spearman,corr_behavior_pearson,pairwise_accuracy_mean,pairwise_ra_accuracy_mean
3,proxy_test_mean_neg_l2,0.523809523809524,0.4523809523809524,0.7229533696734554,0.35807291666666663,0.4444444444444445
4,proxy_test_mean_neg_l2,-0.09523809523809526,-0.1666666666666667,-0.3740078864777377,0.3003472222222222,0.3537326388888889
5,proxy_test_mean_neg_l2,0.17964393928698885,0.5611425419454066,0.5211695757111656,0.2738715277777778,0.30338541666666663
6,proxy_test_mean_neg_l2,-0.09581010095306071,-0.7142857142857144,-0.03295423932821237,0.2751736111111111,0.2816840277777778
7,proxy_test_mean_neg_l2,0.7380952380952381,0.2142857142857143,0.7757800491702296,0.26953125,0.35373263888888884
8,proxy_test_mean_neg_l2,0.6428571428571429,0.4761904761904762,0.443690646910313,0.36111111111111116,0.4557291666666667
9,proxy_test_mean_neg_l2,0.6904761904761906,0.6428571428571429,0.6448527238953204,0.41666666666666663,0.4379340277777778
1,proxy_train_mean_cosine,0.14371515142959107,-0.09523809523809526,0.31372110565019096,0.3819444444444444,0.44661458333333337
2,proxy_train_mean_cosine,0.14285714285714288,0.467074242146171,-0.021560409703149895,0.2508680555555556,0.23567708333333331
3,proxy_train_mean_cosine,-0.3333333333333334,-0.4761904761904762,-0.26959127757028933,0.35807291666666663,0.4444444444444445
4,proxy_train_mean_cosine,0.04761904761904763,-0.04761904761904763,0.11600667920220775,0.3003472222222222,0.3537326388888889
5,proxy_train_mean_cosine,-0.2515015150017844,0.7563225565351133,-0.2917122458570397,0.2738715277777778,0.30338541666666663
6,proxy_train_mean_cosine,-0.17964393928698885,-0.14285714285714288,2.133826731729451e-05,0.2751736111111111,0.2816840277777778
7,proxy_train_mean_cosine,-0.7142857142857144,-0.3571428571428572,-0.7040516538194066,0.26953125,0.35373263888888884
8,proxy_train_mean_cosine,-0.6904761904761906,-0.09523809523809526,-0.6275621650312884,0.36111111111111116,0.4557291666666667
9,proxy_train_mean_cosine,-0.3571428571428572,0.04761904761904763,-0.2500474288163905,0.41666666666666663,0.4379340277777778
