policy,setting,coverage,mean_accuracy,std_accuracy,mean_delta_vs_ra,wins_vs_ra,losses_vs_ra,worst_subject_delta,late_session_acc,negative_transfer_subject_count,mean_balanced_accuracy,mean_macro_f1
kcar,near_causal,0.5,0.42746913580246915,0.13109012120446203,-9.25185853854297e-18,4,4,-0.02430555555555558,0.4074074074074074,4,0.42746913580246915,0.41030412088229906
kcar,near_causal,0.6,0.42554012345679015,0.13616149231345132,-0.0019290123456790179,5,4,-0.02777777777777779,0.4027777777777778,4,0.42554012345679015,0.4075139715043097
kcar,near_causal,0.7,0.4232253086419753,0.13839369670021526,-0.004243827160493834,5,4,-0.034722222222222265,0.4039351851851852,4,0.4232253086419753,0.40337125479704616
kcar,near_causal,0.8,0.41898148148148145,0.13873689600004896,-0.008487654320987652,4,5,-0.05555555555555558,0.400462962962963,5,0.41898148148148145,0.39703911488677224
kcar,near_causal,0.9,0.4182098765432099,0.13444621003712617,-0.009259259259259266,4,5,-0.0625,0.4016203703703704,5,0.4182098765432099,0.3945700464980232
kcar,retrospective,0.1,0.4270833333333333,0.13608276348795434,-0.00038580246913581345,5,3,-0.017361111111111105,0.39583333333333337,3,0.42708333333333326,0.40933351499327814
kcar,retrospective,0.2,0.42592592592592593,0.13300242864788062,-0.0015432098765432198,4,5,-0.01388888888888895,0.39583333333333337,5,0.42592592592592593,0.4080218898730011
kcar,retrospective,0.3,0.4263117283950617,0.13509106352103445,-0.001157407407407425,4,4,-0.01736111111111116,0.39583333333333337,4,0.4263117283950617,0.40883219428685513
kcar,retrospective,0.4,0.4247685185185185,0.13336452543130997,-0.0027006172839506137,4,5,-0.034722222222222265,0.3969907407407407,5,0.4247685185185185,0.4079049236568502
kcar,retrospective,0.5,0.4247685185185185,0.13336452543130997,-0.0027006172839506137,4,5,-0.034722222222222265,0.3969907407407407,5,0.4247685185185185,0.4079049236568502
kcar,retrospective,0.6,0.42554012345679015,0.12685628709467187,-0.0019290123456790086,5,4,-0.038194444444444475,0.3912037037037037,4,0.42554012345679015,0.4067531075343813
kcar,retrospective,0.7,0.43209876543209874,0.12463912886518813,0.004629629629629619,5,4,-0.034722222222222265,0.400462962962963,4,0.43209876543209874,0.412538370285279
kcar,retrospective,0.8,0.4286265432098766,0.1269631612380415,0.0011574074074074095,5,4,-0.048611111111111105,0.39814814814814814,4,0.42862654320987653,0.40705447301252234
kcar,retrospective,0.9,0.4220679012345679,0.12912875497324228,-0.00540123456790124,4,4,-0.05208333333333337,0.3993055555555556,4,0.4220679012345679,0.39886536313202403
ra,near_causal,0.1,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.2,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.3,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.4,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.5,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.6,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.7,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.8,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,near_causal,0.9,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.1,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.2,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.3,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.4,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.5,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.6,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.7,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.8,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
ra,retrospective,0.9,0.4274691358024691,0.13318862911969348,0.0,0,0,0.0,0.3993055555555556,0,0.4274691358024691,0.4086730804221882
sigma_recent,near_causal,0.1,0.4224537037037037,0.13024305092716007,-0.005015432098765439,1,6,-0.01736111111111116,0.3842592592592593,6,0.4224537037037037,0.4046129335328909
sigma_recent,near_causal,0.2,0.4201388888888889,0.13186446772054336,-0.007330246913580248,1,7,-0.02083333333333337,0.3865740740740741,7,0.42013888888888884,0.4032621948795956
