policy,setting,coverage,baseline_policy,mean_accuracy,mean_delta_vs_baseline,wins,losses,draws,worst_subject_delta,late_session_gap
kcar,retrospective,0.8,d_tgt,0.4286265432098766,0.007330246913580252,5,3,1,-0.01736111111111116,-0.010416666666666654
kcar,retrospective,0.9,d_tgt,0.4220679012345679,0.0038580246913580297,4,2,3,-0.006944444444444475,-0.00347222222222221
kcar,near_causal,0.1,sigma_recent,0.4305555555555556,0.008101851851851841,6,3,0,-0.006944444444444531,0.023148148148148154
kcar,near_causal,0.2,sigma_recent,0.43248456790123463,0.012345679012345685,7,2,0,-0.01388888888888895,0.020833333333333332
kcar,near_causal,0.3,sigma_recent,0.42824074074074076,0.011574074074074058,5,3,1,-0.01388888888888895,0.02430555555555555
kcar,near_causal,0.4,sigma_recent,0.42746913580246915,0.013117283950617278,6,3,0,-0.01388888888888895,0.019675925925925923
kcar,near_causal,0.5,sigma_recent,0.42746913580246915,0.013117283950617278,6,3,0,-0.01388888888888895,0.019675925925925923
kcar,near_causal,0.6,sigma_recent,0.42554012345679015,0.0073302469135802335,4,3,2,-0.01736111111111116,0.013888888888888888
kcar,near_causal,0.7,sigma_recent,0.4232253086419753,0.005787037037037035,4,3,2,-0.045138888888888895,0.005787037037037047
kcar,near_causal,0.8,sigma_recent,0.41898148148148145,0.0019290123456790116,3,3,3,-0.03125,0.005787037037037053
kcar,near_causal,0.9,sigma_recent,0.4182098765432099,0.003858024691358017,4,1,4,-0.00347222222222221,0.006944444444444451
kcar,retrospective,0.1,sigma_recent,0.4270833333333333,0.005015432098765423,6,3,0,-0.01388888888888895,-0.004629629629629632
kcar,retrospective,0.2,sigma_recent,0.42592592592592593,0.0015432098765432013,4,4,1,-0.02430555555555558,-0.005787037037037047
kcar,retrospective,0.3,sigma_recent,0.4263117283950617,-1.2335811384723961e-17,4,4,1,-0.02430555555555558,-0.004629629629629638
kcar,retrospective,0.4,sigma_recent,0.4247685185185185,0.002700617283950623,5,4,0,-0.02430555555555558,0.0
kcar,retrospective,0.5,sigma_recent,0.4247685185185185,0.002700617283950623,5,4,0,-0.02430555555555558,0.0
kcar,retrospective,0.6,sigma_recent,0.42554012345679015,0.008101851851851844,6,2,1,-0.02083333333333337,-0.0011574074074073972
kcar,retrospective,0.7,sigma_recent,0.43209876543209874,0.0158179012345679,7,2,0,-0.01388888888888895,0.011574074074074094
kcar,retrospective,0.8,sigma_recent,0.4286265432098766,0.014660493827160503,6,3,0,-0.01736111111111116,0.015046296296296311
kcar,retrospective,0.9,sigma_recent,0.4220679012345679,0.004243827160493834,5,1,3,-0.01041666666666663,0.004629629629629638
