policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,retrospective,0.3,4,0.3819444444444444,0.3854166666666667,-0.0034722222222222654,0.4166666666666667,2,0.3819444444444444,0.34955194577780796
d_tgt,retrospective,0.3,5,0.3159722222222222,0.3298611111111111,-0.013888888888888895,0.3125,3,0.3159722222222222,0.3141017478855402
d_tgt,retrospective,0.3,6,0.3333333333333333,0.3541666666666667,-0.02083333333333337,0.3125,2,0.33333333333333337,0.32638400969109627
d_tgt,retrospective,0.3,7,0.3888888888888889,0.3888888888888889,0.0,0.3125,1,0.38888888888888884,0.3780239702782838
d_tgt,retrospective,0.3,8,0.5451388888888888,0.5451388888888888,0.0,0.5416666666666666,1,0.5451388888888888,0.489415780489052
d_tgt,retrospective,0.3,9,0.4444444444444444,0.4201388888888889,0.024305555555555525,0.3020833333333333,0,0.4444444444444444,0.4550774157178771
d_tgt,retrospective,0.4,1,0.5520833333333334,0.5520833333333334,0.0,0.5104166666666666,2,0.5520833333333333,0.524893982183654
d_tgt,retrospective,0.4,2,0.2048611111111111,0.21875,-0.013888888888888895,0.25,3,0.2048611111111111,0.18709336102997992
d_tgt,retrospective,0.4,3,0.6284722222222222,0.6527777777777778,-0.02430555555555558,0.6145833333333334,3,0.6284722222222221,0.627940417744887
d_tgt,retrospective,0.4,4,0.3680555555555556,0.3854166666666667,-0.017361111111111105,0.375,3,0.3680555555555556,0.33162579092339245
d_tgt,retrospective,0.4,5,0.2916666666666667,0.3298611111111111,-0.03819444444444442,0.3125,4,0.2916666666666667,0.2871561780293824
d_tgt,retrospective,0.4,6,0.3263888888888889,0.3541666666666667,-0.02777777777777779,0.3125,3,0.3263888888888889,0.319567669040475
d_tgt,retrospective,0.4,7,0.3958333333333333,0.3888888888888889,0.00694444444444442,0.3125,1,0.39583333333333337,0.38616459824259447
d_tgt,retrospective,0.4,8,0.5486111111111112,0.5451388888888888,0.003472222222222321,0.5520833333333334,1,0.5486111111111112,0.4962084724392518
d_tgt,retrospective,0.4,9,0.4444444444444444,0.4201388888888889,0.024305555555555525,0.3020833333333333,0,0.4444444444444444,0.45474851511490866
d_tgt,retrospective,0.5,1,0.5520833333333334,0.5520833333333334,0.0,0.5104166666666666,2,0.5520833333333333,0.524893982183654
d_tgt,retrospective,0.5,2,0.2048611111111111,0.21875,-0.013888888888888895,0.25,3,0.2048611111111111,0.18709336102997992
d_tgt,retrospective,0.5,3,0.6284722222222222,0.6527777777777778,-0.02430555555555558,0.6145833333333334,3,0.6284722222222221,0.627940417744887
d_tgt,retrospective,0.5,4,0.3680555555555556,0.3854166666666667,-0.017361111111111105,0.375,3,0.3680555555555556,0.33162579092339245
d_tgt,retrospective,0.5,5,0.2916666666666667,0.3298611111111111,-0.03819444444444442,0.3125,4,0.2916666666666667,0.2871561780293824
d_tgt,retrospective,0.5,6,0.3263888888888889,0.3541666666666667,-0.02777777777777779,0.3125,3,0.3263888888888889,0.319567669040475
d_tgt,retrospective,0.5,7,0.3958333333333333,0.3888888888888889,0.00694444444444442,0.3125,1,0.39583333333333337,0.38616459824259447
d_tgt,retrospective,0.5,8,0.5486111111111112,0.5451388888888888,0.003472222222222321,0.5520833333333334,1,0.5486111111111112,0.4962084724392518
d_tgt,retrospective,0.5,9,0.4444444444444444,0.4201388888888889,0.024305555555555525,0.3020833333333333,0,0.4444444444444444,0.45474851511490866
d_tgt,retrospective,0.6,1,0.5486111111111112,0.5520833333333334,-0.00347222222222221,0.5104166666666666,3,0.548611111111111,0.52035387331106
d_tgt,retrospective,0.6,2,0.2048611111111111,0.21875,-0.013888888888888895,0.25,3,0.2048611111111111,0.18709336102997992
d_tgt,retrospective,0.6,3,0.6354166666666666,0.6527777777777778,-0.01736111111111116,0.6145833333333334,3,0.6354166666666666,0.637604976068983
d_tgt,retrospective,0.6,4,0.3715277777777778,0.3854166666666667,-0.013888888888888895,0.375,3,0.3715277777777778,0.3310177917320774
d_tgt,retrospective,0.6,5,0.28125,0.3298611111111111,-0.048611111111111105,0.3125,5,0.28125,0.27365270900437483
d_tgt,retrospective,0.6,6,0.3298611111111111,0.3541666666666667,-0.02430555555555558,0.3125,3,0.3298611111111111,0.32444812877183904
d_tgt,retrospective,0.6,7,0.3958333333333333,0.3888888888888889,0.00694444444444442,0.3125,1,0.3958333333333333,0.385458435567378
