source,target,accuracy,kappa,f1_macro,cka
6,2,0.2604166666666667,0.01388888888888884,0.20226478307243606,0.03988960252686209
6,3,0.3819444444444444,0.17592592592592593,0.34476178901312593,0.05570822042904406
6,4,0.3055555555555556,0.07407407407407407,0.21703927349551452,0.046960342773313735
6,5,0.25,0.0,0.10647585788035226,0.06986530336678218
6,7,0.2534722222222222,0.00462962962962965,0.18382277579036152,0.08461994409070422
6,8,0.3541666666666667,0.13888888888888884,0.3002031746293222,0.05600400819780999
6,9,0.2604166666666667,0.01388888888888884,0.23323036049589804,0.06829473396279066
7,1,0.4930555555555556,0.32407407407407407,0.41719666358726404,0.20378648502422633
7,2,0.17708333333333334,-0.09722222222222232,0.1736606712124879,0.05193010208668938
7,3,0.5451388888888888,0.3935185185185185,0.5391568978201244,0.09550146907762777
7,4,0.24305555555555555,-0.0092592592592593,0.19568647594963384,0.03450764540018124
7,5,0.2534722222222222,0.00462962962962965,0.10712786660052658,0.05174702306023467
7,6,0.2569444444444444,0.0092592592592593,0.15213166144200627,0.05560946542192008
7,8,0.4201388888888889,0.22685185185185186,0.3296388597362628,0.08872799950075437
7,9,0.4305555555555556,0.2407407407407407,0.36786133837231205,0.1521750862039292
8,1,0.2534722222222222,0.00462962962962965,0.10712786660052658,0.1757064752114071
8,2,0.24305555555555555,-0.0092592592592593,0.18610015149628842,0.03745889072842331
8,3,0.2638888888888889,0.01851851851851849,0.1354365141339997,0.14344140030356337
8,4,0.24305555555555555,-0.0092592592592593,0.11003090170480191,0.03573992645966445
8,5,0.25,0.0,0.1,0.04680633706428669
8,6,0.24305555555555555,-0.0092592592592593,0.1406158357771261,0.04428495668186017
8,7,0.2777777777777778,0.03703703703703709,0.16965328645656513,0.1224413402621557
8,9,0.4965277777777778,0.3287037037037037,0.43494199353574353,0.22056037263031072
9,1,0.2638888888888889,0.01851851851851849,0.1272727272727273,0.16135954737279912
9,2,0.25,0.0,0.1,0.05446878868314257
9,3,0.3611111111111111,0.14814814814814814,0.2568276684555754,0.16072934493787208
9,4,0.2534722222222222,0.00462962962962965,0.10740797428637025,0.040835260797780534
9,5,0.2569444444444444,0.0092592592592593,0.11417366946778712,0.07819173828730319
9,6,0.2951388888888889,0.06018518518518523,0.2007517322413506,0.06200743207212332
9,7,0.2465277777777778,-0.004629629629629539,0.0988857938718663,0.11666959709822987
9,8,0.2743055555555556,0.03240740740740744,0.19171667054652763,0.16970348075888977
